Time (sec), Vehicle speed (MPH), Instant fuel economy (MPG), Fuel rate (gal/hr), Input voltage read by the scan tool (V), Engine Power (hp), Trip Distance (miles), Trip Fuel (gal), Trip Duration (min), Seconds Idling (sec), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Intake air temperature (°F), Absolute throttle position (%), O2 voltage (Bank 1  Sensor 1) (V), O2 voltage (Bank 1  Sensor 2) (V),, Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Torque (lb•ft), GPS Speed (MPH)
0,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,3.814958
0.961,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,5.374192
1.957,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,4.571951
2.953,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,5.374192
4.003,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,5.268763
4.956,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,6.297328
5.953,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,7.866346
6.907,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,7.866346
7.859,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.447486
8.804,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.21296
9.76,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.08639
10.778,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,10.08639
11.66,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.07484
12.662,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.07484
13.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,8.404496
14.665,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.07484
15.668,9.941939,18.91069,0.5257311,14.2,7.208357,0.03612522,0.002427033,0.227878,0,27.45098,150.8,11.81204,1218,68,12.94118,0.115,0.8,,0.7911571,-8.412189,-0.04874019,31.08301,9.508201
